name,source,gender,wikidata,type
"Valdemar és Nina Langlet rakpart",wikidata,+,Q52570;Q4960840,way
"56-osok tere",wikidata,-,Q3242115;Q164348,relation
"Adonis utca",wikidata,-,Q147534,way
"Aga köz",wikidata,-,Q514748,way
"Aga utca",wikidata,-,Q514748,way
"Ajnácskő utca",wikidata,-,Q554592,way
"Akácfa utca",wikidata,-,Q472943,relation+way
"Akadémia utca",wikidata,-,Q265058,relation
"Alagút utca",wikidata,-,Q850862,relation
"Alföldi utca",wikidata,-,Q83857,relation
"Alkotás utca",wikidata,-,Q137651,way
"Alkotmány utca",wikidata,-,Q280654,relation+way
"Állatkerti körút",wikidata,-,Q922178,way
"Almássy tér",wikidata,-,Q1498478,relation
"Almássy utca",wikidata,-,Q1498478,relation
"Alpár utca",wikidata,-,Q63456112,relation+way
"Anker köz",wikidata,-,Q12813589,relation
"Apahida utca",wikidata,-,Q221331,way
"Aradi utca",wikidata,-,Q173591,relation+way
"Aranykéz utca",wikidata,-,Q775071,way
"Audi köz",wikidata,-,Q124983953,way
"Badacsonyi utca",wikidata,-,Q642172,way
"Bakator utca",wikidata,-,Q1236618,way
"Bakony utca",wikidata,-,Q695810,way
"Balaton utca",wikidata,-,Q6383,relation
"Balatoni út",wikidata,-,Q6383,way
"Bank utca",wikidata,-,Q22687;Q774636,relation
"Baranyai tér",wikidata,-,Q790230,way
"Baranyai utca",wikidata,-,Q790230,way
"Barátpatak utca",wikidata,-,Q791062,relation
"Barcsay utca",wikidata,-,Q8530532,relation+way
"Bécsi kapu tér",wikidata,-,Q389475,relation
"Bécsi út",wikidata,-,Q1741,relation+way
"Bécsi utca",wikidata,-,Q1741,way
"Békési utca",wikidata,-,Q191616,way
"Belgrád rakpart",wikidata,-,Q3711,way
"Bereck utca",wikidata,-,Q2924828,way
"Beregszász köz",wikidata,-,Q146497,way
"Beregszász tér",wikidata,-,Q146497,way
"Beregszász út",wikidata,-,Q146497,way
"Bérkocsis utca",wikidata,-,Q268508,relation
"Bezerédj utca",wikidata,-,Q794400,relation+way
"Bicskei utca",wikidata,-,Q3599,way
"Bodajk utca",wikidata,-,Q263626,way
"Bosnyák tér",wikidata,-,Q940348,way
"Bosnyák utca",wikidata,-,Q940348,way
"Botfalu udvar",wikidata,-,Q1094553,way
"Botfalu utca",wikidata,-,Q1094553,way
"Brassó köz",wikidata,-,Q82174,way
"Brassó út",wikidata,-,Q82174,way
"Budafoki út",wikidata,-,Q525100,way
"Budakeszi út",wikidata,-,Q842912,relation+way
"Budaörsi út",wikidata,-,Q755691,relation+way
"Bukarest utca",wikidata,-,Q19660,way
"Ciprus utca",wikidata,-,Q146911,way
"Citadella út",wikidata,-,Q206170,way
"Cserhát utca",wikidata,-,Q872024,relation
"Csetneki utca",wikidata,-,Q392534,way
"Csíksomlyó utca",wikidata,-,Q830141,way
"Csobánka tér",wikidata,-,Q370208,relation+way
"Dalszínház utca",wikidata,-,Q36833,relation
"Délibáb utca",wikidata,-,Q308762,relation
"Diószegi út",wikidata,-,Q568249,way
"Dísz tér",wikidata,-,Q1413045,relation
"Dologház utca",wikidata,-,Q628155,relation
"Drégelyvár utca",wikidata,-,Q910327,way
"Duna utca",wikidata,-,Q1653,way
Dunakorzó,wikidata,-,Q1653,way
"Edömér utca",wikidata,-,Q987771,way
"Előpatak köz",wikidata,-,Q12100947,way
"Előpatak utca",wikidata,-,Q12100947,way
"Érdi utca",wikidata,-,Q193050,way
"Eszék utca",wikidata,-,Q1640,way
